"Ngay","ISO_Date","Thu","Loai_Vang","Gia_Mua_VND_Luong","Gia_Ban_VND_Luong","Chenh_Lech_VND_Luong","Gia_Mua_VND_Chi","Gia_Ban_VND_Chi","Gia_The_Gioi_USD_oz","SJC_Mieng_Mua_VND_Luong","SJC_Mieng_Ban_VND_Luong","Cap_Nhat_Luc"
"18/03/2016","2016-03-18","Thứ Sáu","Vàng nhẫn SJC 9999",32100000,35100000,3000000,3210000,3510000,1253.8,32600000,35600000,"23:30"
"21/03/2016","2016-03-21","Thứ Hai","Vàng nhẫn SJC 9999",31900000,34900000,3000000,3190000,3490000,1243.8,32400000,35400000,"23:30"
"22/03/2016","2016-03-22","Thứ Ba","Vàng nhẫn SJC 9999",32000000,35000000,3000000,3200000,3500000,1248.2,32500000,35500000,"23:30"
"23/03/2016","2016-03-23","Thứ Tư","Vàng nhẫn SJC 9999",31300000,34300000,3000000,3130000,3430000,1223.7,31800000,34800000,"23:30"
"24/03/2016","2016-03-24","Thứ Năm","Vàng nhẫn SJC 9999",31200000,34200000,3000000,3120000,3420000,1221.4,31700000,34700000,"23:30"
"28/03/2016","2016-03-28","Thứ Hai","Vàng nhẫn SJC 9999",31200000,34200000,3000000,3120000,3420000,1219.9,31700000,34700000,"23:30"
"29/03/2016","2016-03-29","Thứ Ba","Vàng nhẫn SJC 9999",31600000,34600000,3000000,3160000,3460000,1235.6,32100000,35100000,"23:30"
"30/03/2016","2016-03-30","Thứ Tư","Vàng nhẫn SJC 9999",31400000,34400000,3000000,3140000,3440000,1226.9,31900000,34900000,"23:30"
"31/03/2016","2016-03-31","Thứ Năm","Vàng nhẫn SJC 9999",31600000,34600000,3000000,3160000,3460000,1234.2,32100000,35100000,"23:30"
"01/04/2016","2016-04-01","Thứ Sáu","Vàng nhẫn SJC 9999",31300000,34300000,3000000,3130000,3430000,1222.2,31800000,34800000,"23:30"
"04/04/2016","2016-04-04","Thứ Hai","Vàng nhẫn SJC 9999",31100000,34100000,3000000,3110000,3410000,1218,31600000,34600000,"23:30"
"05/04/2016","2016-04-05","Thứ Ba","Vàng nhẫn SJC 9999",31400000,34400000,3000000,3140000,3440000,1228.4,31900000,34900000,"23:30"
"06/04/2016","2016-04-06","Thứ Tư","Vàng nhẫn SJC 9999",31300000,34300000,3000000,3130000,3430000,1222.5,31800000,34800000,"23:30"
"07/04/2016","2016-04-07","Thứ Năm","Vàng nhẫn SJC 9999",31600000,34600000,3000000,3160000,3460000,1236.2,32100000,35100000,"23:30"
"08/04/2016","2016-04-08","Thứ Sáu","Vàng nhẫn SJC 9999",31800000,34800000,3000000,3180000,3480000,1242.5,32300000,35300000,"23:30"
"11/04/2016","2016-04-11","Thứ Hai","Vàng nhẫn SJC 9999",32200000,35200000,3000000,3220000,3520000,1256.7,32700000,35700000,"23:30"
"12/04/2016","2016-04-12","Thứ Ba","Vàng nhẫn SJC 9999",32300000,35300000,3000000,3230000,3530000,1259.4,32800000,35800000,"23:30"
"13/04/2016","2016-04-13","Thứ Tư","Vàng nhẫn SJC 9999",31900000,34900000,3000000,3190000,3490000,1246.8,32400000,35400000,"23:30"
"14/04/2016","2016-04-14","Thứ Năm","Vàng nhẫn SJC 9999",31300000,34300000,3000000,3130000,3430000,1225,31800000,34800000,"23:30"
"15/04/2016","2016-04-15","Thứ Sáu","Vàng nhẫn SJC 9999",31600000,34600000,3000000,3160000,3460000,1233.1,32100000,35100000,"23:30"
"18/04/2016","2016-04-18","Thứ Hai","Vàng nhẫn SJC 9999",31600000,34600000,3000000,3160000,3460000,1233.6,32100000,35100000,"23:30"
"19/04/2016","2016-04-19","Thứ Ba","Vàng nhẫn SJC 9999",32100000,35100000,3000000,3210000,3510000,1253,32600000,35600000,"23:30"
"20/04/2016","2016-04-20","Thứ Tư","Vàng nhẫn SJC 9999",32100000,35100000,3000000,3210000,3510000,1253.2,32600000,35600000,"23:30"
"21/04/2016","2016-04-21","Thứ Năm","Vàng nhẫn SJC 9999",32000000,35000000,3000000,3200000,3500000,1249,32500000,35500000,"23:30"
"22/04/2016","2016-04-22","Thứ Sáu","Vàng nhẫn SJC 9999",31400000,34400000,3000000,3140000,3440000,1228.7,31900000,34900000,"23:30"
"25/04/2016","2016-04-25","Thứ Hai","Vàng nhẫn SJC 9999",31700000,34700000,3000000,3170000,3470000,1238.9,32200000,35200000,"23:30"
"26/04/2016","2016-04-26","Thứ Ba","Vàng nhẫn SJC 9999",31800000,34800000,3000000,3180000,3480000,1242.2,32300000,35300000,"23:30"
"27/04/2016","2016-04-27","Thứ Tư","Vàng nhẫn SJC 9999",32000000,35000000,3000000,3200000,3500000,1249.2,32500000,35500000,"23:30"
"28/04/2016","2016-04-28","Thứ Năm","Vàng nhẫn SJC 9999",32500000,35500000,3000000,3250000,3550000,1265.5,33000000,36000000,"23:30"
"29/04/2016","2016-04-29","Thứ Sáu","Vàng nhẫn SJC 9999",33100000,36100000,3000000,3310000,3610000,1289.2,33600000,36600000,"23:30"
"02/05/2016","2016-05-02","Thứ Hai","Vàng nhẫn SJC 9999",33300000,36300000,3000000,3330000,3630000,1294.7,33800000,36800000,"23:30"
"03/05/2016","2016-05-03","Thứ Ba","Vàng nhẫn SJC 9999",33200000,36200000,3000000,3320000,3620000,1290.7,33700000,36700000,"23:30"
"04/05/2016","2016-05-04","Thứ Tư","Vàng nhẫn SJC 9999",32700000,35700000,3000000,3270000,3570000,1273.3,33200000,36200000,"23:30"
"05/05/2016","2016-05-05","Thứ Năm","Vàng nhẫn SJC 9999",32600000,35600000,3000000,3260000,3560000,1271.4,33100000,36100000,"23:30"
"06/05/2016","2016-05-06","Thứ Sáu","Vàng nhẫn SJC 9999",33200000,36200000,3000000,3320000,3620000,1292.9,33700000,36700000,"23:30"
"09/05/2016","2016-05-09","Thứ Hai","Vàng nhẫn SJC 9999",32500000,35500000,3000000,3250000,3550000,1265.6,33000000,36000000,"23:30"
"10/05/2016","2016-05-10","Thứ Ba","Vàng nhẫn SJC 9999",32400000,35400000,3000000,3240000,3540000,1263.9,32900000,35900000,"23:30"
"11/05/2016","2016-05-11","Thứ Tư","Vàng nhẫn SJC 9999",32700000,35700000,3000000,3270000,3570000,1274.6,33200000,36200000,"23:30"
"12/05/2016","2016-05-12","Thứ Năm","Vàng nhẫn SJC 9999",32600000,35600000,3000000,3260000,3560000,1270.3,33100000,36100000,"23:30"
"13/05/2016","2016-05-13","Thứ Sáu","Vàng nhẫn SJC 9999",32600000,35600000,3000000,3260000,3560000,1271.9,33100000,36100000,"23:30"
"16/05/2016","2016-05-16","Thứ Hai","Vàng nhẫn SJC 9999",32700000,35700000,3000000,3270000,3570000,1273.4,33200000,36200000,"23:30"
"17/05/2016","2016-05-17","Thứ Ba","Vàng nhẫn SJC 9999",32800000,35800000,3000000,3280000,3580000,1276.2,33300000,36300000,"23:30"
"18/05/2016","2016-05-18","Thứ Tư","Vàng nhẫn SJC 9999",32700000,35700000,3000000,3270000,3570000,1273.7,33200000,36200000,"23:30"
"19/05/2016","2016-05-19","Thứ Năm","Vàng nhẫn SJC 9999",32100000,35100000,3000000,3210000,3510000,1254.2,32600000,35600000,"23:30"
"20/05/2016","2016-05-20","Thứ Sáu","Vàng nhẫn SJC 9999",32100000,35100000,3000000,3210000,3510000,1252.4,32600000,35600000,"23:30"
"23/05/2016","2016-05-23","Thứ Hai","Vàng nhẫn SJC 9999",32100000,35100000,3000000,3210000,3510000,1251.1,32600000,35600000,"23:30"
"24/05/2016","2016-05-24","Thứ Ba","Vàng nhẫn SJC 9999",31400000,34400000,3000000,3140000,3440000,1228.9,31900000,34900000,"23:30"
"25/05/2016","2016-05-25","Thứ Tư","Vàng nhẫn SJC 9999",31300000,34300000,3000000,3130000,3430000,1223.5,31800000,34800000,"23:30"
"26/05/2016","2016-05-26","Thứ Năm","Vàng nhẫn SJC 9999",31200000,34200000,3000000,3120000,3420000,1220.1,31700000,34700000,"23:30"
"27/05/2016","2016-05-27","Thứ Sáu","Vàng nhẫn SJC 9999",31000000,34000000,3000000,3100000,3400000,1213.8,31500000,34500000,"23:30"
"31/05/2016","2016-05-31","Thứ Ba","Vàng nhẫn SJC 9999",31000000,34000000,3000000,3100000,3400000,1214.8,31500000,34500000,"23:30"
"01/06/2016","2016-06-01","Thứ Tư","Vàng nhẫn SJC 9999",31000000,34000000,3000000,3100000,3400000,1211.9,31500000,34500000,"23:30"
"02/06/2016","2016-06-02","Thứ Năm","Vàng nhẫn SJC 9999",30900000,33900000,3000000,3090000,3390000,1209.8,31400000,34400000,"23:30"
"03/06/2016","2016-06-03","Thứ Sáu","Vàng nhẫn SJC 9999",31800000,34800000,3000000,3180000,3480000,1240.1,32300000,35300000,"23:30"
"06/06/2016","2016-06-06","Thứ Hai","Vàng nhẫn SJC 9999",31900000,34900000,3000000,3190000,3490000,1244.6,32400000,35400000,"23:30"
"07/06/2016","2016-06-07","Thứ Ba","Vàng nhẫn SJC 9999",31900000,34900000,3000000,3190000,3490000,1244.4,32400000,35400000,"23:30"
"08/06/2016","2016-06-08","Thứ Tư","Vàng nhẫn SJC 9999",32300000,35300000,3000000,3230000,3530000,1259.8,32800000,35800000,"23:30"
"09/06/2016","2016-06-09","Thứ Năm","Vàng nhẫn SJC 9999",32600000,35600000,3000000,3260000,3560000,1270.2,33100000,36100000,"23:30"
"10/06/2016","2016-06-10","Thứ Sáu","Vàng nhẫn SJC 9999",32700000,35700000,3000000,3270000,3570000,1273.4,33200000,36200000,"23:30"
"13/06/2016","2016-06-13","Thứ Hai","Vàng nhẫn SJC 9999",33000000,36000000,3000000,3300000,3600000,1284.4,33500000,36500000,"23:30"
"14/06/2016","2016-06-14","Thứ Ba","Vàng nhẫn SJC 9999",33000000,36000000,3000000,3300000,3600000,1285.6,33500000,36500000,"23:30"
"15/06/2016","2016-06-15","Thứ Tư","Vàng nhẫn SJC 9999",33000000,36000000,3000000,3300000,3600000,1285.8,33500000,36500000,"23:30"
"16/06/2016","2016-06-16","Thứ Năm","Vàng nhẫn SJC 9999",33300000,36300000,3000000,3330000,3630000,1296.1,33800000,36800000,"23:30"
"17/06/2016","2016-06-17","Thứ Sáu","Vàng nhẫn SJC 9999",33200000,36200000,3000000,3320000,3620000,1292.5,33700000,36700000,"23:30"
"20/06/2016","2016-06-20","Thứ Hai","Vàng nhẫn SJC 9999",33200000,36200000,3000000,3320000,3620000,1290,33700000,36700000,"23:30"
"21/06/2016","2016-06-21","Thứ Ba","Vàng nhẫn SJC 9999",32600000,35600000,3000000,3260000,3560000,1270.5,33100000,36100000,"23:30"
"22/06/2016","2016-06-22","Thứ Tư","Vàng nhẫn SJC 9999",32500000,35500000,3000000,3250000,3550000,1268,33000000,36000000,"23:30"
"23/06/2016","2016-06-23","Thứ Năm","Vàng nhẫn SJC 9999",32300000,35300000,3000000,3230000,3530000,1261.2,32800000,35800000,"23:30"
"24/06/2016","2016-06-24","Thứ Sáu","Vàng nhẫn SJC 9999",34000000,37000000,3000000,3400000,3700000,1320,34500000,37500000,"23:30"
"27/06/2016","2016-06-27","Thứ Hai","Vàng nhẫn SJC 9999",34100000,37100000,3000000,3410000,3710000,1322.5,34600000,37600000,"23:30"
"28/06/2016","2016-06-28","Thứ Ba","Vàng nhẫn SJC 9999",33900000,36900000,3000000,3390000,3690000,1315.3,34400000,37400000,"23:30"
"29/06/2016","2016-06-29","Thứ Tư","Vàng nhẫn SJC 9999",34100000,37100000,3000000,3410000,3710000,1323.9,34600000,37600000,"23:30"
"30/06/2016","2016-06-30","Thứ Năm","Vàng nhẫn SJC 9999",33900000,36900000,3000000,3390000,3690000,1318.4,34400000,37400000,"23:30"
"01/07/2016","2016-07-01","Thứ Sáu","Vàng nhẫn SJC 9999",34500000,37500000,3000000,3450000,3750000,1336.7,35000000,38000000,"23:30"
"05/07/2016","2016-07-05","Thứ Ba","Vàng nhẫn SJC 9999",35000000,38000000,3000000,3500000,3800000,1356.4,35500000,38500000,"23:30"
"06/07/2016","2016-07-06","Thứ Tư","Vàng nhẫn SJC 9999",35300000,38300000,3000000,3530000,3830000,1364.9,35800000,38800000,"23:30"
"07/07/2016","2016-07-07","Thứ Năm","Vàng nhẫn SJC 9999",35100000,38100000,3000000,3510000,3810000,1360.1,35600000,38600000,"23:30"
"08/07/2016","2016-07-08","Thứ Sáu","Vàng nhẫn SJC 9999",35000000,38000000,3000000,3500000,3800000,1356.6,35500000,38500000,"23:30"
"11/07/2016","2016-07-11","Thứ Hai","Vàng nhẫn SJC 9999",35000000,38000000,3000000,3500000,3800000,1355,35500000,38500000,"23:30"
"12/07/2016","2016-07-12","Thứ Ba","Vàng nhẫn SJC 9999",34400000,37400000,3000000,3440000,3740000,1334.1,34900000,37900000,"23:30"
"13/07/2016","2016-07-13","Thứ Tư","Vàng nhẫn SJC 9999",34600000,37600000,3000000,3460000,3760000,1342.4,35100000,38100000,"23:30"
"14/07/2016","2016-07-14","Thứ Năm","Vàng nhẫn SJC 9999",34300000,37300000,3000000,3430000,3730000,1331.3,34800000,37800000,"23:30"
"15/07/2016","2016-07-15","Thứ Sáu","Vàng nhẫn SJC 9999",34200000,37200000,3000000,3420000,3720000,1326.5,34700000,37700000,"23:30"
"18/07/2016","2016-07-18","Thứ Hai","Vàng nhẫn SJC 9999",34200000,37200000,3000000,3420000,3720000,1328.4,34700000,37700000,"23:30"
"19/07/2016","2016-07-19","Thứ Ba","Vàng nhẫn SJC 9999",34300000,37300000,3000000,3430000,3730000,1331.5,34800000,37800000,"23:30"
"20/07/2016","2016-07-20","Thứ Tư","Vàng nhẫn SJC 9999",34000000,37000000,3000000,3400000,3700000,1318.8,34500000,37500000,"23:30"
"21/07/2016","2016-07-21","Thứ Năm","Vàng nhẫn SJC 9999",34300000,37300000,3000000,3430000,3730000,1330.5,34800000,37800000,"23:30"
"22/07/2016","2016-07-22","Thứ Sáu","Vàng nhẫn SJC 9999",34100000,37100000,3000000,3410000,3710000,1323.1,34600000,37600000,"23:30"
"25/07/2016","2016-07-25","Thứ Hai","Vàng nhẫn SJC 9999",34000000,37000000,3000000,3400000,3700000,1319.3,34500000,37500000,"23:30"
"26/07/2016","2016-07-26","Thứ Ba","Vàng nhẫn SJC 9999",34000000,37000000,3000000,3400000,3700000,1320.7,34500000,37500000,"23:30"
"27/07/2016","2016-07-27","Thứ Tư","Vàng nhẫn SJC 9999",34200000,37200000,3000000,3420000,3720000,1326.6,34700000,37700000,"23:30"
"28/07/2016","2016-07-28","Thứ Năm","Vàng nhẫn SJC 9999",34300000,37300000,3000000,3430000,3730000,1332.3,34800000,37800000,"23:30"
"29/07/2016","2016-07-29","Thứ Sáu","Vàng nhẫn SJC 9999",34800000,37800000,3000000,3480000,3780000,1349,35300000,38300000,"23:30"
"01/08/2016","2016-08-01","Thứ Hai","Vàng nhẫn SJC 9999",34900000,37900000,3000000,3490000,3790000,1351.4,35400000,38400000,"23:30"
"02/08/2016","2016-08-02","Thứ Ba","Vàng nhẫn SJC 9999",35200000,38200000,3000000,3520000,3820000,1364.4,35700000,38700000,"23:30"
"03/08/2016","2016-08-03","Thứ Tư","Vàng nhẫn SJC 9999",35000000,38000000,3000000,3500000,3800000,1356.1,35500000,38500000,"23:30"
"04/08/2016","2016-08-04","Thứ Năm","Vàng nhẫn SJC 9999",35100000,38100000,3000000,3510000,3810000,1358.8,35600000,38600000,"23:30"
"05/08/2016","2016-08-05","Thứ Sáu","Vàng nhẫn SJC 9999",34500000,37500000,3000000,3450000,3750000,1336.4,35000000,38000000,"23:30"
"08/08/2016","2016-08-08","Thứ Hai","Vàng nhẫn SJC 9999",34400000,37400000,3000000,3440000,3740000,1333.4,34900000,37900000,"23:30"
"09/08/2016","2016-08-09","Thứ Ba","Vàng nhẫn SJC 9999",34500000,37500000,3000000,3450000,3750000,1339,35000000,38000000,"23:30"
"10/08/2016","2016-08-10","Thứ Tư","Vàng nhẫn SJC 9999",34700000,37700000,3000000,3470000,3770000,1344.3,35200000,38200000,"23:30"
"11/08/2016","2016-08-11","Thứ Năm","Vàng nhẫn SJC 9999",34600000,37600000,3000000,3460000,3760000,1342.5,35100000,38100000,"23:30"
"12/08/2016","2016-08-12","Thứ Sáu","Vàng nhẫn SJC 9999",34400000,37400000,3000000,3440000,3740000,1335.8,34900000,37900000,"23:30"
"15/08/2016","2016-08-15","Thứ Hai","Vàng nhẫn SJC 9999",34600000,37600000,3000000,3460000,3760000,1340.3,35100000,38100000,"23:30"
"16/08/2016","2016-08-16","Thứ Ba","Vàng nhẫn SJC 9999",34800000,37800000,3000000,3480000,3780000,1350.5,35300000,38300000,"23:30"
"17/08/2016","2016-08-17","Thứ Tư","Vàng nhẫn SJC 9999",34600000,37600000,3000000,3460000,3760000,1342.7,35100000,38100000,"23:30"
"18/08/2016","2016-08-18","Thứ Năm","Vàng nhẫn SJC 9999",34900000,37900000,3000000,3490000,3790000,1351.2,35400000,38400000,"23:30"
"19/08/2016","2016-08-19","Thứ Sáu","Vàng nhẫn SJC 9999",34600000,37600000,3000000,3460000,3760000,1340.4,35100000,38100000,"23:30"
"22/08/2016","2016-08-22","Thứ Hai","Vàng nhẫn SJC 9999",34500000,37500000,3000000,3450000,3750000,1337.7,35000000,38000000,"23:30"
"23/08/2016","2016-08-23","Thứ Ba","Vàng nhẫn SJC 9999",34600000,37600000,3000000,3460000,3760000,1340.6,35100000,38100000,"23:30"
"24/08/2016","2016-08-24","Thứ Tư","Vàng nhẫn SJC 9999",34100000,37100000,3000000,3410000,3710000,1324.4,34600000,37600000,"23:30"
"25/08/2016","2016-08-25","Thứ Năm","Vàng nhẫn SJC 9999",34000000,37000000,3000000,3400000,3700000,1320.1,34500000,37500000,"23:30"
"26/08/2016","2016-08-26","Thứ Sáu","Vàng nhẫn SJC 9999",34000000,37000000,3000000,3400000,3700000,1321.5,34500000,37500000,"23:30"
"29/08/2016","2016-08-29","Thứ Hai","Vàng nhẫn SJC 9999",34100000,37100000,3000000,3410000,3710000,1322.9,34600000,37600000,"23:30"
"30/08/2016","2016-08-30","Thứ Ba","Vàng nhẫn SJC 9999",33800000,36800000,3000000,3380000,3680000,1311.7,34300000,37300000,"23:30"
"31/08/2016","2016-08-31","Thứ Tư","Vàng nhẫn SJC 9999",33600000,36600000,3000000,3360000,3660000,1306.9,34100000,37100000,"23:30"
"01/09/2016","2016-09-01","Thứ Năm","Vàng nhẫn SJC 9999",33800000,36800000,3000000,3380000,3680000,1312.2,34300000,37300000,"23:30"
"02/09/2016","2016-09-02","Thứ Sáu","Vàng nhẫn SJC 9999",34100000,37100000,3000000,3410000,3710000,1322.1,34600000,37600000,"23:30"
"06/09/2016","2016-09-06","Thứ Ba","Vàng nhẫn SJC 9999",34800000,37800000,3000000,3480000,3780000,1349.4,35300000,38300000,"23:30"
"07/09/2016","2016-09-07","Thứ Tư","Vàng nhẫn SJC 9999",34700000,37700000,3000000,3470000,3770000,1344.3,35200000,38200000,"23:30"
"08/09/2016","2016-09-08","Thứ Năm","Vàng nhẫn SJC 9999",34500000,37500000,3000000,3450000,3750000,1336.8,35000000,38000000,"23:30"
"09/09/2016","2016-09-09","Thứ Sáu","Vàng nhẫn SJC 9999",34300000,37300000,3000000,3430000,3730000,1330.1,34800000,37800000,"23:30"
